code,description,brochures,product_url
10-149-02-07,"Scalpel handle, acc. to Landolt, bayonet, for micro sclapel blades, length 25 cm",Plastic Surgery,https://www.klsmartin.com/shop/en/products/product/10-149-02-07/
10-149-03-07,"Scalpel handle, slender pattern, length 22.5 cm",90-272-48-04 Plastic | Plastische Chirurgie (https://www.klsmartin.com/mediathek/90-272-48-04_Plastic_surgery_catalog.pdf),https://www.klsmartin.com/shop/en/products/product/10-149-03-07/
10-149-05-07,"Scalpel handle, bayonet, length 21 cm",Plastic Surgery,https://www.klsmartin.com/shop/en/products/product/10-149-05-07/
10-149-06-07,"Scalpel handle, mini, round, length 15.5 cm",Plastic Surgery,https://www.klsmartin.com/shop/en/products/product/10-149-06-07/
10-149-07-07,Discontinued / No Description Found,Plastic Surgery,https://www.klsmartin.com/shop/en/products/product/10-149-07-07/
10-155-10-04,"Scalpel blade, figure 10, sterile",90-100-48-07 General | General Surgery (https://www.klsmartin.com/mediathek/90-100-48-07_General_Surgery.pdf); 90-132-48-04 Cardio | Cardio Thoracic and Vascular Surgery (https://www.klsmartin.com/mediathek/90-132-48-04_Cardio_Thoracic_and_Vascular_Surgery.pdf); 90-424-48-04 Neuro | Neurosurgery (https://www.klsmartin.com/mediathek/90-424-48-04_Neurosurgery_catalog.pdf); 90-272-48-04 Plastic | Plastische Chirurgie (https://www.klsmartin.com/mediathek/90-272-48-04_Plastic_surgery_catalog.pdf); 91-350-83-48 OMF | Oral and maxillofacial surgery (https://www.klsmartin.com/mediathek/91-350-83-48_OMF_Oral_and_maxillofacial_surgery.pdf),https://www.klsmartin.com/shop/en/products/product/10-155-10-04/
10-155-11-04,"Scalpel blade, figure 11, sterile","Plastic Surgery; General Surgery; Oral and maxillofacial surgery; Neurosurgery; Cardio, Thoracic and Vascular Surgery",https://www.klsmartin.com/shop/en/products/product/10-155-11-04/
10-155-12-04,"Scalpel blade, figure 12, sterile",90-100-48-07 General | General Surgery (https://www.klsmartin.com/mediathek/90-100-48-07_General_Surgery.pdf); 90-132-48-04 Cardio | Cardio Thoracic and Vascular Surgery (https://www.klsmartin.com/mediathek/90-132-48-04_Cardio_Thoracic_and_Vascular_Surgery.pdf); 90-424-48-04 Neuro | Neurosurgery (https://www.klsmartin.com/mediathek/90-424-48-04_Neurosurgery_catalog.pdf); 90-272-48-04 Plastic | Plastische Chirurgie (https://www.klsmartin.com/mediathek/90-272-48-04_Plastic_surgery_catalog.pdf); 91-350-83-48 OMF | Oral and maxillofacial surgery (https://www.klsmartin.com/mediathek/91-350-83-48_OMF_Oral_and_maxillofacial_surgery.pdf),https://www.klsmartin.com/shop/en/products/product/10-155-12-04/
10-155-15-04,"Scalpel blade, figure 15, sterile",90-100-48-07 General | General Surgery (https://www.klsmartin.com/mediathek/90-100-48-07_General_Surgery.pdf); 90-132-48-04 Cardio | Cardio Thoracic and Vascular Surgery (https://www.klsmartin.com/mediathek/90-132-48-04_Cardio_Thoracic_and_Vascular_Surgery.pdf); 90-424-48-04 Neuro | Neurosurgery (https://www.klsmartin.com/mediathek/90-424-48-04_Neurosurgery_catalog.pdf); 90-272-48-04 Plastic | Plastische Chirurgie (https://www.klsmartin.com/mediathek/90-272-48-04_Plastic_surgery_catalog.pdf); 91-350-83-48 OMF | Oral and maxillofacial surgery (https://www.klsmartin.com/mediathek/91-350-83-48_OMF_Oral_and_maxillofacial_surgery.pdf),https://www.klsmartin.com/shop/en/products/product/10-155-15-04/
10-155-18-04,"Scalpel blade, figure 18, sterile","General Surgery; Oral and maxillofacial surgery; Neurosurgery; Cardio, Thoracic and Vascular Surgery",https://www.klsmartin.com/shop/en/products/product/10-155-18-04/
10-155-20-04,"Scalpel blade, figure 20, sterile","General Surgery; Oral and maxillofacial surgery; Neurosurgery; Cardio, Thoracic and Vascular Surgery",https://www.klsmartin.com/shop/en/products/product/10-155-20-04/
10-155-21-04,"Scalpel blade, figure 21, sterile",90-100-48-07 General | General Surgery (https://www.klsmartin.com/mediathek/90-100-48-07_General_Surgery.pdf); 90-132-48-04 Cardio | Cardio Thoracic and Vascular Surgery (https://www.klsmartin.com/mediathek/90-132-48-04_Cardio_Thoracic_and_Vascular_Surgery.pdf); 90-424-48-04 Neuro | Neurosurgery (https://www.klsmartin.com/mediathek/90-424-48-04_Neurosurgery_catalog.pdf); 90-272-48-04 Plastic | Plastische Chirurgie (https://www.klsmartin.com/mediathek/90-272-48-04_Plastic_surgery_catalog.pdf); 91-350-83-48 OMF | Oral and maxillofacial surgery (https://www.klsmartin.com/mediathek/91-350-83-48_OMF_Oral_and_maxillofacial_surgery.pdf),https://www.klsmartin.com/shop/en/products/product/10-155-21-04/
10-155-22-04,"Scalpel blade, figure 22, sterile","General Surgery; Oral and maxillofacial surgery; Neurosurgery; Cardio, Thoracic and Vascular Surgery",https://www.klsmartin.com/shop/en/products/product/10-155-22-04/
10-155-23-04,"Scalpel blade, figure 23, sterile",90-100-48-07 General | General Surgery (https://www.klsmartin.com/mediathek/90-100-48-07_General_Surgery.pdf); 90-132-48-04 Cardio | Cardio Thoracic and Vascular Surgery (https://www.klsmartin.com/mediathek/90-132-48-04_Cardio_Thoracic_and_Vascular_Surgery.pdf); 90-424-48-04 Neuro | Neurosurgery (https://www.klsmartin.com/mediathek/90-424-48-04_Neurosurgery_catalog.pdf); 90-272-48-04 Plastic | Plastische Chirurgie (https://www.klsmartin.com/mediathek/90-272-48-04_Plastic_surgery_catalog.pdf); 91-350-83-48 OMF | Oral and maxillofacial surgery (https://www.klsmartin.com/mediathek/91-350-83-48_OMF_Oral_and_maxillofacial_surgery.pdf),https://www.klsmartin.com/shop/en/products/product/10-155-23-04/
10-155-24-04,"Scalpel blade, figure 24, sterile","General Surgery; Oral and maxillofacial surgery; Neurosurgery; Cardio, Thoracic and Vascular Surgery",https://www.klsmartin.com/shop/en/products/product/10-155-24-04/
10-155-36-04,"Scalpel blade, figure 36, sterile",90-100-48-07 General | General Surgery (https://www.klsmartin.com/mediathek/90-100-48-07_General_Surgery.pdf); 90-132-48-04 Cardio | Cardio Thoracic and Vascular Surgery (https://www.klsmartin.com/mediathek/90-132-48-04_Cardio_Thoracic_and_Vascular_Surgery.pdf); 90-424-48-04 Neuro | Neurosurgery (https://www.klsmartin.com/mediathek/90-424-48-04_Neurosurgery_catalog.pdf); 91-350-83-48 OMF | Oral and maxillofacial surgery (https://www.klsmartin.com/mediathek/91-350-83-48_OMF_Oral_and_maxillofacial_surgery.pdf),https://www.klsmartin.com/shop/en/products/product/10-155-36-04/
10-156-12-04,"Scalpel blade, figure 12 D, sterile","Plastic Surgery; General Surgery; Oral and maxillofacial surgery; Neurosurgery; Cardio, Thoracic and Vascular Surgery",https://www.klsmartin.com/shop/en/products/product/10-156-12-04/
10-156-15-04,"Scalpel blade, figure 15 C, sterile","Plastic Surgery; General Surgery; Oral and maxillofacial surgery; Neurosurgery; Cardio, Thoracic and Vascular Surgery",https://www.klsmartin.com/shop/en/products/product/10-156-15-04/
10-160-01-07,"Scalpel handle, for micro blades, length 13.5 cm","Plastic Surgery; General Surgery; Oral and maxillofacial surgery; Neurosurgery; Cardio, Thoracic and Vascular Surgery",https://www.klsmartin.com/shop/en/products/product/10-160-01-07/
10-199-00-01,"Kling-ex, scalpel blade remover",Plastic Surgery; Oral and maxillofacial surgery; Neurosurgery,https://www.klsmartin.com/shop/en/products/product/10-199-00-01/
10-285-18-04,"Disposable scalpel, figure 18, sterile",How to find us (https://www.klsmartin.com/fileadmin/user_upload/Homepage/Company/Locations/KLS_Martin_WORLD_How_to_find_us.pdf),https://www.klsmartin.com/shop/en/products/product/10-285-18-04/
10-285-20-04,"Disposable scalpel, figure 20, sterile",90-132-48-04 Cardio | Cardio Thoracic and Vascular Surgery (https://www.klsmartin.com/mediathek/90-132-48-04_Cardio_Thoracic_and_Vascular_Surgery.pdf); 90-424-48-04 Neuro | Neurosurgery (https://www.klsmartin.com/mediathek/90-424-48-04_Neurosurgery_catalog.pdf),https://www.klsmartin.com/shop/en/products/product/10-285-20-04/
10-285-21-04,"Disposable scalpel, figure 21, sterile",90-132-48-04 Cardio | Cardio Thoracic and Vascular Surgery (https://www.klsmartin.com/mediathek/90-132-48-04_Cardio_Thoracic_and_Vascular_Surgery.pdf); 90-424-48-04 Neuro | Neurosurgery (https://www.klsmartin.com/mediathek/90-424-48-04_Neurosurgery_catalog.pdf),https://www.klsmartin.com/shop/en/products/product/10-285-21-04/
10-285-22-04,"Disposable scalpel, figure 22, sterile","Neurosurgery; Cardio, Thoracic and Vascular Surgery",https://www.klsmartin.com/shop/en/products/product/10-285-22-04/
10-285-23-04,"Disposable scalpel, figure 23, sterile","Neurosurgery; Cardio, Thoracic and Vascular Surgery",https://www.klsmartin.com/shop/en/products/product/10-285-23-04/
10-285-24-04,"Disposable scalpel, figure 24, sterile","Neurosurgery; Cardio, Thoracic and Vascular Surgery",https://www.klsmartin.com/shop/en/products/product/10-285-24-04/
10-295-10-04,"Disposable scalpel, figure 10, sterile","General Surgery; Oral and maxillofacial surgery; Neurosurgery; Cardio, Thoracic and Vascular Surgery",https://www.klsmartin.com/shop/en/products/product/10-295-10-04/
10-295-11-04,"Disposable scalpel, figure 11, sterile",90-100-48-07 General | General Surgery (https://www.klsmartin.com/mediathek/90-100-48-07_General_Surgery.pdf); 90-132-48-04 Cardio | Cardio Thoracic and Vascular Surgery (https://www.klsmartin.com/mediathek/90-132-48-04_Cardio_Thoracic_and_Vascular_Surgery.pdf); 90-424-48-04 Neuro | Neurosurgery (https://www.klsmartin.com/mediathek/90-424-48-04_Neurosurgery_catalog.pdf); 91-350-83-48 OMF | Oral and maxillofacial surgery (https://www.klsmartin.com/mediathek/91-350-83-48_OMF_Oral_and_maxillofacial_surgery.pdf),https://www.klsmartin.com/shop/en/products/product/10-295-11-04/
10-295-12-04,"Disposable scalpel, figure 12, sterile","General Surgery; Oral and maxillofacial surgery; Neurosurgery; Cardio, Thoracic and Vascular Surgery",https://www.klsmartin.com/shop/en/products/product/10-295-12-04/
10-295-15-04,"Disposable scalpel, figure 15, sterile","General Surgery; Oral and maxillofacial surgery; Neurosurgery; Cardio, Thoracic and Vascular Surgery",https://www.klsmartin.com/shop/en/products/product/10-295-15-04/
10-296-12-04,"Disposable scalpel, figure 12 D, sterile",90-100-48-07 General | General Surgery (https://www.klsmartin.com/mediathek/90-100-48-07_General_Surgery.pdf); 90-132-48-04 Cardio | Cardio Thoracic and Vascular Surgery (https://www.klsmartin.com/mediathek/90-132-48-04_Cardio_Thoracic_and_Vascular_Surgery.pdf); 90-424-48-04 Neuro | Neurosurgery (https://www.klsmartin.com/mediathek/90-424-48-04_Neurosurgery_catalog.pdf); 91-350-83-48 OMF | Oral and maxillofacial surgery (https://www.klsmartin.com/mediathek/91-350-83-48_OMF_Oral_and_maxillofacial_surgery.pdf),https://www.klsmartin.com/shop/en/products/product/10-296-12-04/
